,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
7144,Ben Stokes,1.0,0,7,0,7.0,2,1,0,0,0,0,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat
7145,Sandeep Sharma,4.0,0,32,0,8.0,7,3,1,0,0,0,Sunrisers Hyderabad,Rajasthan Royals,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat
7146,Khaleel Ahmed,3.5,0,37,2,9.65,9,1,3,0,0,50,Sunrisers Hyderabad,Rajasthan Royals,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat
7147,T Natarajan,4.0,1,32,0,8.0,8,2,2,0,0,12,Sunrisers Hyderabad,Rajasthan Royals,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat
7148,Abhishek Sharma,1.0,0,11,0,11.0,1,2,0,0,0,0,Sunrisers Hyderabad,Rajasthan Royals,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat
7149,Rashid Khan,4.0,0,25,2,6.25,10,3,0,0,0,50,Sunrisers Hyderabad,Rajasthan Royals,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat
7150,Vijay Shankar,3.0,0,22,0,7.33,3,1,0,2,0,0,Sunrisers Hyderabad,Rajasthan Royals,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat
7151,Sandeep Warrier,3.0,0,34,0,11.33,8,5,1,3,0,0,Kolkata Knight Riders,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7152,Shivam Mavi,4.0,1,32,2,8.0,10,2,0,3,0,62,Kolkata Knight Riders,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7153,Pat Cummins,3.0,0,49,0,16.33,3,3,4,3,0,-6,Kolkata Knight Riders,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7154,Sunil Narine,4.0,0,22,1,5.5,8,2,0,0,0,25,Kolkata Knight Riders,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7155,Andre Russell,2.0,0,17,1,8.5,4,1,1,0,0,25,Kolkata Knight Riders,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
7156,Kuldeep Yadav,4.0,0,39,0,9.75,3,0,3,1,1,0,Kolkata Knight Riders,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,field
