,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
8921,Jonny Bairstow,48,28,9,1,65,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",171.43
8922,Vijay Shankar,16,21,1,0,17,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",76.19
8923,Manish Pandey,10,13,0,0,10,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",76.92
8924,Deepak Hooda,10,11,1,0,11,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",90.91
8925,Yusuf Pathan,9,11,1,0,10,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",81.82
8926,Mohammad Nabi,17,9,2,1,27,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,"Arun Jaitley Stadium, Delhi",188.89
8927,Parthiv Patel,25,24,3,0,28,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",104.17
8928,Virat Kohli,84,49,9,2,103,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",171.43
8929,AB de Villiers,63,32,5,4,82,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",196.88
8930,Marcus Stoinis,28,13,3,1,39,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",215.38
8931,Moeen Ali,0,2,0,0,-2,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",0.0
8932,Chris Lynn,43,31,4,2,51,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",138.71
8933,Sunil Narine,10,8,2,0,12,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",125.0
8934,Robin Uthappa,33,25,6,0,39,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",132.0
8935,Nitish Rana,37,23,1,2,42,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",160.87
8936,Dinesh Karthik,19,15,1,1,22,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",126.67
8937,Andre Russell,48,13,1,7,69,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",369.23
8938,Shubman Gill,3,3,0,0,3,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,"M.Chinnaswamy Stadium, Bengaluru",100.0
8939,Rohit Sharma,12,10,2,0,14,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",120.0
8940,Quinton de Kock,33,20,5,0,38,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",165.0
8941,Suryakumar Yadav,17,16,2,0,19,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",106.25
8942,Saurabh Tiwary,42,31,3,1,47,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",135.48
8943,Hardik Pandya,14,10,0,2,18,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,"Sheikh Zayed Stadium, Abu Dhabi",140.0
