,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
0,Sourav Ganguly,10,12,2,0,12,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",83.33
1,Brendon McCullum,158,73,10,13,216,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",216.44
2,Ricky Ponting,20,20,1,1,23,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",100.0
3,David Hussey,12,12,1,0,13,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",100.0
4,Mohammad Hafeez,5,3,1,0,6,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",166.67
5,Rahul Dravid,2,3,0,0,2,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",66.67
6,Wasim Jaffer,6,16,0,0,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",37.5
7,Virat Kohli,1,5,0,0,-5,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",20.0
8,Jacques Kallis,8,7,0,1,10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",114.29
9,Cameron White,6,10,0,0,6,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",60.0
10,Mark Boucher,7,9,1,0,8,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",77.78
11,Balachandra Akhil,0,2,0,0,-2,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",0.0
12,Ashley Noffke,9,10,1,0,10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",90.0
13,Praveen Kumar,18,15,1,2,23,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",120.0
14,Zaheer Khan,3,8,0,0,-3,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",37.5
15,Sunil Joshi,3,6,0,0,3,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"M.Chinnaswamy Stadium, Bengaluru",50.0
16,Parthiv Patel,15,10,3,0,18,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",150.0
17,Matthew Hayden,25,17,4,1,31,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",147.06
18,Michael Hussey,116,54,8,9,164,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",214.81
19,MS Dhoni,2,3,0,0,2,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",66.67
20,Suresh Raina,32,13,2,3,46,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",246.15
21,Jacob Oram,13,10,0,1,15,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",130.0
22,S Badrinath,31,14,3,2,44,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",221.43
23,Karan Goel,24,19,2,1,28,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",126.32
24,James Hopes,71,33,10,3,93,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",215.15
25,Kumar Sangakkara,54,33,5,2,63,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",163.64
26,Yuvraj Singh,23,13,1,2,34,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",176.92
27,Simon Katich,21,17,0,1,23,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",123.53
28,Irfan Pathan,3,5,0,0,3,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",60.0
29,Taruwar Kohli,7,12,0,1,9,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",58.33
30,Yusuf Pathan,10,5,2,0,18,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",200.0
31,Shane Watson,21,15,4,0,25,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",140.0
32,Mohammad Kaif,9,19,0,0,3,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",47.37
33,Darren Lehmann,1,2,0,0,1,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",50.0
34,Ravindra Jadeja,29,23,2,2,35,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",126.09
35,Mahesh Rawat,2,4,0,0,2,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",50.0
36,Dinesh Salunkhe,26,20,4,0,30,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",130.0
37,Shane Warne,14,13,2,0,16,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",107.69
38,Siddharth Trivedi,3,7,0,0,-3,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",42.86
39,Gautam Gambhir,58,46,7,1,67,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",126.09
40,Virender Sehwag,12,4,3,0,21,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",300.0
41,Shikhar Dhawan,52,41,8,0,60,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi",126.83
42,Luke Ronchi,8,10,2,0,10,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",80.0
43,Sanath Jayasuriya,29,16,5,1,42,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",181.25
44,Dominic Thornely,0,5,0,0,-2,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",0.0
45,Robin Uthappa,48,38,5,1,55,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",126.32
46,Pinal Shah,19,23,2,0,21,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",82.61
47,Abhishek Nayar,20,14,1,1,23,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",142.86
48,Shaun Pollock,28,12,3,2,41,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",233.33
49,Harbhajan Singh,2,2,0,0,2,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",100.0
50,Shivnarine Chanderpaul,16,11,3,0,19,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",145.45
51,Rahul Dravid,32,33,4,0,36,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",96.97
52,Ross Taylor,23,12,1,2,34,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",191.67
53,Jacques Kallis,25,24,0,1,27,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",104.17
54,Virat Kohli,23,14,3,1,28,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",164.29
55,Mark Boucher,39,19,4,2,53,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",205.26
56,Balachandra Akhil,3,5,0,0,3,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai",60.0
57,Adam Gilchrist,23,22,1,2,28,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",104.55
58,Venugopal Rao,14,14,1,0,15,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",100.0
59,VVS Laxman,0,6,0,0,-2,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",0.0
60,Andrew Symonds,32,39,2,2,38,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",82.05
61,Rohit Sharma,0,3,0,0,-2,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",0.0
62,Scott Styris,6,7,1,0,7,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",85.71
63,Arjun Yadav,10,10,0,1,12,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",100.0
64,Sanjay Bangar,14,10,1,1,17,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",140.0
65,Chaminda Vaas,0,1,0,0,-2,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",0.0
66,RP Singh,1,2,0,0,1,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",50.0
67,Pragyan Ojha,0,0,0,0,-2,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata",
68,Wriddhiman Saha,10,17,1,0,11,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata",58.82
69,Brendon McCullum,5,5,1,0,6,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata",100.0
70,Ricky Ponting,0,1,0,0,-2,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata",0.0
71,Sourav Ganguly,14,30,1,0,9,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata",46.67
72,David Hussey,38,43,1,3,45,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata",88.37
73,Mohammad Hafeez,13,13,1,1,16,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata",100.0
74,Laxmi Shukla,4,6,0,0,4,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata",66.67
75,Karan Goel,26,21,3,2,33,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",123.81
76,James Hopes,16,16,2,0,18,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",100.0
77,Kumar Sangakkara,20,8,3,1,31,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",250.0
78,Mahela Jayawardene,2,4,0,0,2,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",50.0
79,Yuvraj Singh,57,34,6,3,69,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",167.65
80,Irfan Pathan,12,19,0,1,14,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",63.16
81,Sunny Sohal,4,4,0,0,4,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",100.0
82,Brett Lee,0,2,0,0,-2,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",0.0
83,Piyush Chawla,24,11,4,0,34,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",218.18
84,Wilkin Mota,1,1,0,0,1,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",100.0
85,Mohammad Kaif,5,8,1,0,6,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",62.5
86,Kamran Akmal,15,10,2,1,19,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",150.0
87,Yusuf Pathan,7,5,1,0,8,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",140.0
88,Shane Watson,76,49,5,5,91,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",155.1
89,Darren Lehmann,17,16,3,0,20,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",106.25
90,Ravindra Jadeja,36,25,5,1,43,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",144.0
91,Adam Gilchrist,8,9,0,1,10,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",88.89
92,Venugopal Rao,14,22,2,0,16,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",63.64
93,VVS Laxman,2,6,0,0,-4,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",33.33
94,Andrew Symonds,12,13,2,0,14,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",92.31
95,Rohit Sharma,66,36,6,4,86,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",183.33
96,Shahid Afridi,2,7,0,0,-4,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",28.57
97,Sanjay Bangar,8,14,0,0,8,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",57.14
98,Arjun Yadav,12,7,2,0,20,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",171.43
99,Chaminda Vaas,12,6,0,1,20,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",200.0
100,RP Singh,1,1,0,0,1,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",100.0
101,Gautam Gambhir,12,9,2,0,14,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",133.33
102,Virender Sehwag,94,41,10,6,122,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",229.27
103,Shikhar Dhawan,25,28,3,0,28,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",89.29
104,Parthiv Patel,14,11,3,0,17,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",127.27
105,Matthew Hayden,81,46,12,2,103,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",176.09
106,Michael Hussey,5,9,1,0,6,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",55.56
107,Suresh Raina,53,37,3,3,62,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",143.24
108,MS Dhoni,30,16,4,1,42,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",187.5
109,Jacob Oram,5,2,1,0,12,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",250.0
110,S Badrinath,2,1,0,0,8,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",200.0
111,Luke Ronchi,2,3,0,0,2,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",66.67
112,Sanath Jayasuriya,20,11,4,0,30,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",181.82
113,Robin Uthappa,43,36,6,1,51,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",119.44
114,Shaun Pollock,17,15,0,1,19,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",113.33
115,Dwayne Bravo,24,16,2,1,28,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",150.0
116,Abhishek Nayar,45,20,6,1,59,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",225.0
117,Musavir Khote,9,5,0,1,17,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",180.0
118,Harbhajan Singh,28,14,1,3,41,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",200.0
119,Ashish Nehra,1,2,0,0,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai",50.0
120,Adam Gilchrist,13,9,3,0,16,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",144.44
121,VVS Laxman,16,16,3,0,19,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",100.0
122,Shahid Afridi,10,4,1,1,19,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",250.0
123,Andrew Symonds,117,53,11,7,164,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",220.75
124,Rohit Sharma,36,30,3,1,41,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",120.0
125,Arjun Yadav,16,9,3,0,25,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",177.78
126,Kamran Akmal,12,9,1,1,15,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",133.33
127,Graeme Smith,71,45,9,2,84,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",157.78
128,Yusuf Pathan,61,28,4,6,83,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",217.86
129,Shane Watson,4,6,0,0,4,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",66.67
130,Mohammad Kaif,34,16,2,3,48,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",212.5
131,Ravindra Jadeja,1,3,0,0,-5,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",33.33
132,Shane Warne,22,9,2,2,34,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",244.44
133,Dinesh Salunkhe,1,1,0,0,1,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",100.0
134,Pankaj Singh,4,3,0,0,4,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",133.33
135,Karan Goel,18,21,1,1,21,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",85.71
136,Irfan Pathan,6,3,0,0,12,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",200.0
137,Kumar Sangakkara,94,56,13,1,109,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",167.86
138,Yuvraj Singh,18,9,1,1,27,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",200.0
139,Ramnaresh Sarwan,7,9,0,0,7,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",77.78
140,Mahela Jayawardene,12,7,0,1,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",171.43
141,Sunny Sohal,0,4,0,0,-2,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
142,Brett Lee,16,8,2,1,26,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",200.0
143,Piyush Chawla,0,1,0,0,-2,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
144,Sreesanth,0,1,0,0,-2,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
145,Vikram Singh,4,2,1,0,11,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",200.0
146,Luke Ronchi,11,8,1,1,14,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",137.5
147,Sanath Jayasuriya,1,7,0,0,-5,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",14.29
148,Robin Uthappa,21,18,2,1,25,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",116.67
149,Dwayne Bravo,23,21,4,0,27,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",109.52
150,Saurabh Tiwary,17,10,2,1,27,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",170.0
151,Shaun Pollock,22,21,2,1,26,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",104.76
152,Abhishek Nayar,2,3,0,0,2,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",66.67
153,Harbhajan Singh,0,1,0,0,-2,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
154,Musavir Khote,8,7,1,0,9,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",114.29
155,Dhawal Kulkarni,2,16,0,0,-4,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",12.5
156,Ashish Nehra,2,10,0,0,-4,Mumbai Indians,Punjab Kings,Mumbai Indians,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",20.0
157,Shivnarine Chanderpaul,2,9,0,0,-4,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",22.22
158,Rahul Dravid,0,1,0,0,-2,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",0.0
159,Ross Taylor,44,20,6,3,62,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",220.0
160,Jacques Kallis,11,10,2,0,13,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",110.0
161,Virat Kohli,13,14,0,1,15,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",92.86
162,Mark Boucher,4,10,0,0,-2,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",40.0
163,Praveen Kumar,34,30,2,3,42,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",113.33
164,Sunil Joshi,3,8,0,0,-3,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",37.5
165,Zaheer Khan,17,18,2,0,19,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",94.44
166,Vinay Kumar,1,1,0,0,1,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",100.0
167,Graeme Smith,49,42,8,0,57,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",116.67
168,Mahesh Rawat,0,2,0,0,-2,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",0.0
169,Yusuf Pathan,21,12,5,0,32,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,"M.Chinnaswamy Stadium, Bengaluru",175.0
